village_id,name,population,latitude,longitude
0,Maganuru,2375,16.4591417,77.4297609
1,Makhtal,17301,16.5010823,77.5133174
2,Ukur,1782,16.6502213,77.5133456
3,Dhanwada,323,16.6385558,77.6558617
4,Narayanpet,33937,16.7477612,77.4949954
5,Madduru,2307,16.8600838,77.6154832
6,Hanumanpalli,735,16.942094,77.6849647
7,Kosgi,981,16.9884481,77.7164865
8,Krishna,364,16.4100225,77.330529
9,Chegunta,1649,16.4770407,77.3113689
10,Marikal,2446,16.6036234,77.7282091
11,Damaragidda,1256,16.8206361,77.5010743
12,Gadapa,1860,16.9450893,77.5045943
13,Ulligundam,988,16.9156046,77.4942893
14,Vitalapura,1568,16.934997,77.4959888
15,Kothapalle THanda,1569,16.8448616,77.6838572
16,Kothapalle,1394,16.8368109,77.6951654
17,Pothireddypally,2331,17.0009602,77.7438314
18,Kommur,2469,16.8647404,77.7291114
19,Veeraram,638,16.8469564,77.7235324
20,Polepalle,1694,17.0393287,77.7599675
21,Nidjinta,442,16.8353528,77.671283
22,Hakimpeta,795,17.038467,77.7452476
23,Mannapur,1498,16.8264185,77.7016885
24,Thogapur,345,17.0198656,77.7200415
25,Nacharam,737,17.0146653,77.6892925
26,Chandravancha,872,17.0116819,77.6749541
27,Ramapur,1249,17.0093997,77.7108595
28,Kothaplle,2272,17.0169836,77.6530106
29,Lodhipur,1885,17.0134884,77.6602621
30,Pittalabavi,2161,16.9974897,77.6478742
31,Mogalamadaka,1980,16.9073796,77.5392528
32,Suddavanda,552,16.9020721,77.5586102
33,Parsapuram,635,16.9117344,77.5874478
34,Medikunta Thanda,1427,16.9253733,77.5967883
35,Medikunta,2303,16.9238,77.6002951
36,Mungimalla,1728,17.0001882,77.6652897
37,Munugonibavi,845,16.9941391,77.6589219
38,Bantoni Bhavi,2492,16.9852068,77.6522523
39,Mukthipahad,1752,16.9928711,77.6724226
40,Mushrifa,417,16.9881653,77.6665388
41,Bowlanipalle,2150,16.9763678,77.6452371
42,Nagireddypally,920,16.8856024,77.5945083
43,Kamsanipalle,2482,16.7886645,77.5848297
44,Nemulla Palle,2378,16.770188,77.6220603
45,Abhangapur,405,16.7716711,77.6343172
46,Bommanpad,931,16.7621194,77.5940618
47,Kavarampalle,2001,16.7354662,77.531808
48,Singar,1632,16.7379054,77.5357019
49,Appireddipalle,2354,16.7337362,77.5719851
50,Appakapalle,802,16.7178509,77.5581582
51,Jajapur,329,16.7258784,77.5417504
52,Seranpalle,1584,16.741999,77.55531
53,Kothapalle,461,16.7574049,77.5337029
54,Shasampalle,752,16.7563347,77.5294583
55,Kondareddipalle,1369,16.7663,77.5038039
56,Perapalla,535,16.7710738,77.5207517
57,Vathugundla,1179,16.8138971,77.5545447
58,Maddelbeed,743,16.8003829,77.4858667
59,Sajnapur,2009,16.8196115,77.4642514
60,Udmalgidda,643,16.8435769,77.4754636
61,Kanukurthy,1589,16.8887796,77.471269
62,Gadimunakapalle,839,16.8698319,77.4868563
63,Malreddipalle,998,16.8781858,77.5032247
64,Lokurthy,2286,16.8773185,77.5259902
65,Narsapur,1632,16.8880174,77.5250821
66,Annasagar,2244,16.9042861,77.5158605
67,Piddampalle,551,16.8687186,77.510154
68,Mudireddipally,934,16.9058845,77.7277231
69,Bandargadda,2177,16.9135702,77.7401784
70,Nagasanipally,2051,16.9573012,77.7342842
71,Amlikunta,482,16.9155015,77.7232193
72,Gollanidi Thanda,910,16.9238967,77.7380649
73,Bheemlabaik Thanda,1800,16.9210748,77.7308381
74,Valyanaik Thanda,2128,16.9286442,77.7373083
75,Subyakunta Thanda,1138,16.9256094,77.7340475
76,Sarangaraopally,1932,16.9331992,77.736405
77,Sampally,307,16.9739075,77.7338206
78,Mallareddy Pally,1207,16.9716157,77.7507159
79,Gundlapally,568,16.9877036,77.7418406
80,Thimmai Pally,544,16.982816,77.7366539
81,Tupaki Thanda,1002,16.8554094,77.6854878
82,Chayanaik Thanda,899,16.8675288,77.6858832
83,Gundamal,2121,16.8943807,77.7104757
84,Chandranaik Thanda,883,16.8725424,77.6789117
85,Bapankunta Thanda,826,16.8790185,77.6792114
86,Apipalle,1199,16.8973158,77.6752378
87,Nyalabanda Thanda,1914,16.892091,77.6564464
88,Sarlonigadda Thanda,316,16.8900343,77.6604945
89,Denya Naik Thanda,363,16.8854583,77.6538454
90,Lingareddi Palle,1913,16.8468634,77.5048243
91,Parlakunta Thanda,1833,16.8709799,77.6562444
92,Gajulagutta Thanda,338,16.8787751,77.6550974
93,Ambedkar Colony,2360,16.8770226,77.6649447
94,Ambraya Naik Thanda,1768,16.8766573,77.6689532
95,Pallegadda Thanda,1527,16.8670549,77.6478007
96,Telugugadda Thanda,1379,16.8653766,77.6424771
